88;97;60;1;
97;44;60;1;
44;43;60;1;
43;47;120;1;
47;58;120;1;
58;37;180;1;
37;74;60;1;
74;77;120;1;
77;25;60;1;
25;24;60;1;
24;5;60;1;
5;52;60;1;
52;14;120;1;
14;61;120;1;
61;35;120;1;
35;34;60;1;
34;89;30;1;
89;84;30;1;
84;83;60;1;
83;90;60;1;
90;16;60;1;
16;17;60;1;
17;53;120;1;
53;26;60;1;
26;3;60;1;
3;4;60;1;
4;36;180;1;
36;73;60;1;
73;96;60;1;
96;95;60;1;
95;46;120;1;
46;102;120;1;
102;42;120;1;
42;62;60;1;
62;45;60;1;
45;100;180;1;
48;13;60;1;
13;79;120;1;
79;7;30;1;
7;84;120;1;
17;55;120;1;
55;53;120;1;
4;19;120;1;
19;21;120;1;
21;9;60;1;
9;30;120;1;
30;31;60;1;
31;8;60;1;
8;33;60;1;
33;20;120;1;
20;25;180;1;
5;54;60;1;
54;2;60;1;
2;51;60;1;
51;15;120;1;
15;81;180;1;
81;82;30;1;
82;80;60;1;
80;48;180;1;
92;71;180;1;
71;11;180;1;
11;1;120;1;
1;6;60;1;
6;75;60;1;
75;76;60;1;
76;46;60;1;
46;39;120;1;
39;49;180;1;
49;94;180;1;
94;91;180;1;
91;85;60;1;
85;98;60;1;
98;93;60;1;
93;50;180;1;
50;39;120;1;
39;5;120;1;
5;2;120;1;
2;10;180;1;
10;71;120;1;
71;92;240;1;
76;29;120;1;
29;27;120;1;
27;87;120;1;
87;86;120;1;
86;103;60;1;
103;70;30;1;
70;60;120;1;
60;70;60;1;
70;88;180;1;
88;63;180;1;
63;65;60;1;
65;64;180;1;
64;77;120;1;
25;5;120;1;
5;1;60;1;
48;69;60;1;
69;59;180;1;
59;55;120;1;
4;46;120;1;
62;68;120;1;
67;91;60;1;
91;104;30;1;
104;72;60;1;
72;85;60;1;
85;57;30;1;
57;56;60;1;
56;98;30;1;
98;41;60;1;
41;44;60;1;
47;99;180;1;
99;24;30;1;
54;28;180;1;
28;101;60;1;
101;18;180;1;
18;78;60;1;
78;13;120;1;
76;38;180;1;
38;40;180;1;
40;66;180;1;
66;32;120;1;
32;39;240;1;
39;12;60;1;
12;22;180;1;
22;33;60;1;
20;23;120;1;
23;25;120;1;
24;75;120;2;
